task_date,tasks,avg_hours
2025-07-01,8,314.31624999999997
2025-07-02,8,315.94
2025-07-03,8,411.3125
2025-07-04,7,469.41428571428565
2025-07-05,8,471.28125
2025-07-06,12,452.4166666666667
2025-07-07,6,352.465
2025-07-08,6,307.5033333333333
2025-07-09,10,345.765
2025-07-10,8,423.125
2025-07-11,8,384.48125
2025-07-12,6,223.48499999999999
2025-07-13,6,580.2816666666666
2025-07-14,10,353.921
2025-07-15,10,342.36199999999997
2025-07-16,14,410.9385714285713
2025-07-17,11,350.5509090909091
2025-07-18,2,536.03
2025-07-19,13,475.54923076923086
2025-07-20,5,358.14
2025-07-21,7,257.4657142857143
2025-07-22,6,383.5733333333333
2025-07-23,8,322.5275
2025-07-24,9,335.6111111111111
2025-07-25,9,270.86
2025-07-26,5,384.19199999999995
2025-07-27,4,325.71999999999997
2025-07-28,3,340.21
2025-08-01,3,402.46333333333337
2025-08-02,5,450.004
2025-08-03,8,424.15
2025-08-04,9,347.9611111111111
2025-08-05,8,382.59625
2025-08-06,7,403.4957142857143
2025-08-07,6,280.6116666666667
2025-08-08,10,281.791
2025-08-09,9,294.8877777777778
2025-08-10,4,518.68
2025-08-11,5,309.698
2025-08-12,7,488.8957142857143
2025-08-13,10,327.09299999999996
2025-08-14,6,218.37
2025-08-15,8,444.69375
2025-08-16,5,449.42600000000004
2025-08-17,5,280.65
2025-08-18,6,350.955
2025-08-19,11,328.90636363636366
2025-08-20,9,364.1066666666667
2025-08-21,16,374.10625000000005
2025-08-22,5,296.77799999999996
2025-08-23,9,253.64999999999998
2025-08-24,5,436.2580000000001
2025-08-25,6,458.8316666666667
2025-08-26,5,209.20999999999998
2025-08-27,7,491.3385714285714
2025-08-28,8,255.28125000000003
2025-09-01,17,411.63058823529406
2025-09-02,10,447.381
2025-09-03,10,379.139
2025-09-04,6,363.9750000000001
2025-09-05,11,418.35181818181815
2025-09-06,8,470.67375000000004
2025-09-07,10,373.716
2025-09-08,17,354.2476470588235
2025-09-09,8,382.81249999999994
2025-09-10,3,488.3733333333333
2025-09-11,4,381.8075
2025-09-12,7,423.59285714285716
2025-09-13,11,364.11909090909097
2025-09-14,6,439.51
2025-09-15,12,383.68833333333333
2025-09-16,7,226.14999999999995
2025-09-17,5,242.48999999999995
2025-09-18,6,295.2483333333333
2025-09-19,4,325.685
2025-09-20,8,373.51875
2025-09-21,7,299.94714285714286
2025-09-22,5,337.96999999999997
2025-09-23,8,357.05625000000003
2025-09-24,7,319.4485714285714
2025-09-25,11,339.78545454545457
2025-09-26,11,328.5763636363636
2025-09-27,5,510.06000000000006
2025-09-28,8,365.62125000000003
2025-10-01,9,289.7077777777778
2025-10-02,11,367.97090909090906
2025-10-03,4,337.7925
2025-10-04,10,461.4219999999999
2025-10-05,11,314.16727272727275
2025-10-06,9,298.63444444444445
2025-10-07,7,327.42999999999995
2025-10-08,6,292.53333333333336
2025-10-09,4,321.0175
2025-10-10,5,422.53999999999996
2025-10-11,5,406.6
2025-10-12,11,295.91545454545457
2025-10-13,7,324.78714285714284
2025-10-14,7,409.4085714285715
2025-10-15,5,374.09600000000006
2025-10-16,10,412.34
2025-10-17,6,250.19499999999996
2025-10-18,7,300.4742857142857
2025-10-19,5,360.63
2025-10-20,13,377.8784615384615
2025-10-21,12,308.92249999999996
2025-10-22,5,336.584
2025-10-23,12,418.71000000000004
2025-10-24,12,348.67833333333334
2025-10-25,9,455.5344444444444
2025-10-26,7,434.51571428571424
2025-10-27,6,450.5933333333333
2025-10-28,11,397.19
2025-11-01,10,284.715
2025-11-02,10,349.887
2025-11-03,8,448.28999999999996
2025-11-04,9,407.68666666666667
2025-11-05,6,367.40333333333336
2025-11-06,8,499.895
2025-11-07,3,287.24666666666667
2025-11-08,4,223.3275
2025-11-09,5,319.36
2025-11-10,9,374.9433333333334
2025-11-11,5,227.27399999999997
2025-11-12,10,393.957
2025-11-13,9,450.83
2025-11-14,7,294.2742857142857
2025-11-15,4,471.53499999999997
2025-11-16,7,395.5057142857142
2025-11-17,6,378.86833333333334
2025-11-18,12,264.28749999999997
2025-11-19,7,366.3542857142857
2025-11-20,7,333.73
2025-11-21,10,304.35699999999997
2025-11-22,6,417.855
2025-11-23,8,387.95624999999995
2025-11-24,11,379.54090909090905
2025-11-25,8,404.84375
2025-11-26,14,339.39071428571424
2025-11-27,9,393.53666666666663
2025-11-28,6,410.46833333333325
2025-12-01,11,396.8536363636364
2025-12-02,4,370.6425
2025-12-03,7,399.5042857142857
2025-12-04,6,340.0083333333333
2025-12-05,7,422.1871428571429
2025-12-06,6,493.69000000000005
2025-12-07,8,170.49625
2025-12-08,8,361.5025
2025-12-09,5,340.02799999999996
2025-12-10,14,409.86571428571426
2025-12-11,5,359.18999999999994
2025-12-12,6,391.63999999999993
2025-12-13,7,244.59142857142857
2025-12-14,10,407.09299999999996
2025-12-15,7,301.65999999999997
2025-12-16,12,408.72416666666663
2025-12-17,11,392.4509090909091
2025-12-18,6,262.43833333333333
2025-12-19,8,355.69750000000005
2025-12-20,9,262.1511111111111
2025-12-21,6,390.7966666666666
2025-12-22,5,555.276
2025-12-23,9,367.7711111111111
2025-12-24,5,271.352
2025-12-25,11,282.8090909090909
2025-12-26,10,351.337
2025-12-27,12,411.9916666666666
2025-12-28,10,328.928
